#,No IH,,,,IH,,,
#,2SPSA,,2SPSA-3,,2SPSA,,2SPSA-3,
#,NMSE,std error,NMSE,std error,NMSE,std error,NMSE,std error
1000,0.1702,0.01825,0.0766,0.002,0.107,0.0149,0.0838,0.0119
2000,0.1458,0.01635,0.0581,0.003,0.1,0.0166,0.0563,0.0012
3000,0.1329,0.01495,0.0502,0.0001,0.0866,0.01605,0.0496,0.0036
4000,0.1123,0.0134,0.0473,0.0193,0.0742,0.0128,0.0393,0.0008
5000,0.1041,0.0131,0.0372,0.0005,0.076,0.0135,0.0354,0.0041
6000,0.1067,0.01475,0.0404,0.0028,0.0649,0.0114,0.0309,0.0009
7000,0.0965,0.01365,0.0399,0.00003,0.0627,0.00955,0.03,0.0021
8000,0.0857,0.01115,0.0341,0.00003,0.0695,0.0148,0.0339,0.0007
9000,0.095,0.01255,0.0292,0.0002,0.0538,0.01015,0.0335,0.0011
10000,0.0795,0.0117,0.0338,0.00008,0.0628,0.0117,0.0315,0.0007
